siren,siret,adresse,postcode,city
5441399,544139900010,  ,04170,LA MURE-ARGENS
5441407,544140700011,  RUE,04140,SEYNE
5441449,544144900013,  ,04800,GREOUX-LES-BAINS
5441548,544154800012,39  RUE,04000,DIGNE-LES-BAINS
5441589,544158900016,  PL,04700,ORAISON
5441597,544159700019,  BD,04000,DIGNE-LES-BAINS
5441613,544161300014,  ,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5441621,544162100017,  ,04700,PUIMICHEL
5441662,544166200011,  PL,04210,VALENSOLE
5450010,545001000011,  ,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5450051,545005100015,  QUAI,04000,DIGNE-LES-BAINS
5450093,545009300017,5  ALL,04500,RIEZ
5450093,545009300025,  QUAI,04500,RIEZ
5450093,545009300033,  AV,04800,GREOUX-LES-BAINS
5450093,545009300041,36  RUE,04800,GREOUX-LES-BAINS
5450093,545009300058,27  RUE,04800,GREOUX-LES-BAINS
5450101,545010100026,4  BD,13860,PEYROLLES-EN-PROVENCE
5450119,545011900010,63  BD,04000,DIGNE-LES-BAINS
5450119,545011900028,  ,04000,DIGNE-LES-BAINS
5450119,545011900036,3  BD,04000,DIGNE-LES-BAINS
5470018,547001800010,  AV,44500,LA BAULE-ESCOUBLAC
5470075,547007500010,13  RUE,44510,LE POULIGUEN
5470190,547019000017,  RUE,44490,LE CROISIC
5470208,547020800017,105  AV,44600,SAINT-NAZAIRE
5470430,547043000017,2  RUE,44570,TRIGNAC
5470455,547045500014,  LD,44500,LA BAULE-ESCOUBLAC
5470489,547048900013,  LD,44480,DONGES
5470620,547062000013,17  RUE,44600,SAINT-NAZAIRE
5470653,547065300014,23  BD,44600,SAINT-NAZAIRE
5470927,547092700020,  AV,44300,NANTES
5470943,547094300019,  ,44130,BLAIN
5470984,547098400013,  AV,44600,SAINT-NAZAIRE
5471065,547106500010,1  PL,44410,HERBIGNAC
5471115,547111500013,45  RUE,44600,SAINT-NAZAIRE
5471214,547121400014,8  PL,44260,SAVENAY
5471420,547142000017,  BD,44600,SAINT-NAZAIRE
5471438,547143800019,  ,44160,PONTCHATEAU
5471495,547149500019,  RUE,44260,SAVENAY
5471578,547157800012,  PL,44130,LE GAVRE
5471594,547159400019,  PL,44530,GUENROUET
5471602,547160200010,  RUE,44600,SAINT-NAZAIRE
5471628,547162800015,22  RUE,44460,FEGREAC
5471685,547168500015,  RTE,44160,PONTCHATEAU
5471743,547174300012,  AV,44600,SAINT-NAZAIRE
