siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
5440011,544001100012, AV DE VERDUN,4000,DIGNE-LES-BAINS,44.08682,6.213886,12 Avenue de Verdun 04000 Digne-les-Bains,0.55896,,housenumber,04070_1680_00012,12,12 Avenue de Verdun,Avenue de Verdun,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
5440078,544007800011,,4370,COLMARS,44.182833,6.62894,Colmars,0.32642757575757575,0.32104936639118453,municipality,04061,,Colmars,,04370,Colmars,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04061,,,,ok
5440110,544011000038, CRS PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN,44.071716,5.994328,Cours Péchiney 04600 Château-Arnoux-Saint-Auban,0.5889626350461132,0.5451525224071703,street,04049_0585,,Cours Péchiney,Cours Péchiney,04600,Château-Arnoux-Saint-Auban,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04049,,,,ok
5440110,544011000053,13 BD GASSENDI,4000,DIGNE-LES-BAINS,44.091598,6.232368,13 Boulevard Gassendi 04000 Digne-les-Bains,0.5078206293706293,0.3774376179516686,housenumber,04070_0710_00013,13,13 Boulevard Gassendi,Boulevard Gassendi,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
5440110,544011000061,6 RUE FIRMIN GUICHARD,4000,DIGNE-LES-BAINS,44.085644,6.228323,6 rue firmin guichard 04000 Digne-les-Bains,0.6175045454545454,,housenumber,04070_0630_00006,6,6 rue firmin guichard,rue firmin guichard,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
5440136,544013600017,,4500,QUINSON,43.705158,6.037478,Quinson,0.32539393939393935,0.2772261471861472,municipality,04158,,Quinson,,04500,Quinson,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04158,,,,ok
5440185,544018500014,,4250,TURRIERS,44.39538,6.174527,Turriers,0.34245016042780746,0.2618986956521739,municipality,04222,,Turriers,,04250,Turriers,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04222,,,,ok
5440219,544021900011,,4210,VALENSOLE,43.8345,5.943815,Valensole,0.36929415584415587,0.3264984615384615,municipality,04230,,Valensole,,04210,Valensole,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04230,,,,ok
5440235,544023500017,,4170,THORAME-BASSE,44.093652,6.505531,Thorame-Basse,0.41577221445221446,0.3509297959183673,municipality,04218,,Thorame-Basse,,04170,Thorame-Basse,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04218,,,,ok
5440409,544040900018, RUE CHAPUZIE,4200,SISTERON,44.19689,5.945511,18 Rue Chapuzie 04200 Sisteron,0.5939233462282398,,housenumber,04209_0230_00018,18,18 Rue Chapuzie,Rue Chapuzie,04200,Sisteron,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04209,,,,ok
5440508,544050800017, RTE NEUVE,4160,CHATEAU-ARNOUX-SAINT-AUBAN,44.080801,5.996443,La Bastide Neuve 04160 Château-Arnoux-Saint-Auban,0.5041198989898988,0.48268282296650716,locality,04049_B005,,La Bastide Neuve,,04160,Château-Arnoux-Saint-Auban,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04049,,,,ok
5440557,544055700014, PL DES RECOLLETS,4000,DIGNE-LES-BAINS,44.091832,6.239536,Place des Recollets 04000 Digne-les-Bains,0.5331068542568541,,street,04070_v0om9q,,Place des Recollets,Place des Recollets,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
5440565,544056500017, PL DU GENERAL DE GAULLE,4200,SISTERON,44.195623,5.943625,Place du Général de Gaulle 04200 Sisteron,0.5357568542568542,,street,04209_0648,,Place du Général de Gaulle,Place du Général de Gaulle,04200,Sisteron,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04209,,,,ok
5440649,544064900019, RUE LOGIS,4800,SAINT-MARTIN-DE-BROMES,43.769579,5.94609,Rue du logis 04800 Saint-Martin-de-Brômes,0.5488182991202346,0.23822848484848486,street,04189_0012,,Rue du logis,Rue du logis,04800,Saint-Martin-de-Brômes,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04189,,,,ok
5440672,544067200011,,4120,CASTELLANE,43.844009,6.489286,Castellane,0.38165717171717173,0.33351143763213525,municipality,04039,,Castellane,,04120,Castellane,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04039,,,,ok
5440698,544069800016,,4370,COLMARS,44.182833,6.62894,Colmars,0.32642757575757575,0.32104936639118453,municipality,04061,,Colmars,,04370,Colmars,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04061,,,,ok
5440722,544072200014,,4120,CASTELLANE,43.844009,6.489286,Castellane,0.38165717171717173,0.33351143763213525,municipality,04039,,Castellane,,04120,Castellane,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04039,,,,ok
5440755,544075500014,,4190,LES MEES,44.00598,5.945759,Les Mées,0.35343197860962566,0.2531720393120393,municipality,04116,,Les Mées,,04190,Les Mées,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04116,,,,ok
5440789,544078900013,,4530,LA CONDAMINE-CHATELARD,44.462006,6.749425,Cd900 04530 La Condamine-Châtelard,0.5106504895104894,0.5104133333333333,street,04062_7qgec4,,Cd900,Cd900,04530,La Condamine-Châtelard,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04062,,,,ok
5440797,544079700016,,4700,ORAISON,43.904657,5.914681,Oraison,0.33756757575757573,0.26506675889328063,municipality,04143,,Oraison,,04700,Oraison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04143,,,,ok
5440813,544081300029, LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE,44.343972,6.02763,Traverse des Balcons 04250 La Motte-du-Caire,0.39780727272727273,0.3661911483253588,street,04134_0017,,Traverse des Balcons,Traverse des Balcons,04250,La Motte-du-Caire,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04134,,,,ok
5440847,544084700019,,4140,VERDACHES,44.26318,6.345494,Verdaches,0.35157233766233764,0.2634118181818182,municipality,04235,,Verdaches,,04140,Verdaches,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04235,,,,ok
5440904,544090400018, HAM LES BAUMES,4200,MISON,44.229705,5.875885,Les Baumes 04200 Mison,0.425303280632411,0.425303280632411,locality,04123_fa2y9f,,Les Baumes,,04200,Mison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04123,,,,ok
5440938,544093800016,,4200,MISON,44.264117,5.872239,Mison,0.2908259824046921,0.24535736842105263,municipality,04123,,Mison,,04200,Mison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04123,,,,ok
5440987,544098700013,,4500,MONTAGNAC-MONTPEZAT,43.776149,6.102417,Montagnac-Montpezat,0.4870101010101009,0.41591256198347104,municipality,04124,,Montagnac-Montpezat,,04500,Montagnac-Montpezat,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04124,,,,ok
