,siren,siret,adresse,postcode,city
305,5540976,554097600015,BD+GASSENDI,4000,DIGNE-LES-BAINS
306,5541016,554101600019,LES FERREOLS,4000,DIGNE-LES-BAINS
307,5541032,554103200016,,4140,AUZET
308,5541040,554104000019,,4530,LA CONDAMINE-CHATELARD
309,5541065,554106500016,,4140,SEYNE
310,5541073,554107300010,RTE+NATIONALE 96,4600,CHATEAU-ARNOUX-SAINT-AUBAN
311,5541123,554112300013,,4170,THORAME-HAUTE
312,5541206,554120600016,RUE+DU MILIEU,4320,ENTREVAUX
313,5541206,554120600024,QUA+LE RAGOT,4320,ENTREVAUX
314,5541248,554124800018,,4250,LE CAIRE
315,5541255,554125500013,LE VERLAINE,4800,GREOUX-LES-BAINS
316,5541263,554126300017,,4370,BEAUVEZER
317,5541305,554130500016,GAUDEISSARD,4340,MEOLANS-REVEL
318,5541347,554134700018,,4500,MONTAGNAC-MONTPEZAT
319,5541347,554134700026,,4500,RIEZ
320,5541362,554136200017,,4700,ORAISON
321,5541412,554141200010,2.0+C ARCS,4000,DIGNE-LES-BAINS
322,5541438,554143800023,RUE+DU VALLON DE FARINE,4000,DIGNE-LES-BAINS
323,5541495,554149500015,,4240,ANNOT
324,5541529,554152900011,,4170,SAINT-ANDRE-LES-ALPES
325,5541545,554154500017,,4360,MOUSTIERS-SAINTE-MARIE
326,5541552,554155200013,HOTEL DU VERDON,4370,BEAUVEZER
327,5541552,554155200021,L'AULAPIE,4260,ALLOS
328,5541552,554155200039,PISTE DE L'AIGUILLE,4260,ALLOS
329,5541560,554156000016,37.0+RUE+MANUEL,4400,BARCELONNETTE
330,5541610,554161000035,RUE+DES CORDELIERS,4200,SISTERON
331,5541669,554166900015,SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS
332,5541677,554167700018,20.0+RUE+MANUEL,4400,BARCELONNETTE
333,5541685,554168500011,15.0+RUE+DE L ANCIENNE MAIRIE,4000,DIGNE-LES-BAINS
334,5541701,554170100016,,4530,LA CONDAMINE-CHATELARD
335,5541735,554173500014,35.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
336,5541750,554175000013,,4370,COLMARS
337,5541776,554177600018,,4170,SAINT-ANDRE-LES-ALPES
338,5541842,554184200018,RUE+DE LA GRANDE FONTAINE,4000,DIGNE-LES-BAINS
339,5541867,554186700023,QUAI+DES 4 CHEMINS,83460,LES ARCS
340,5541909,554190900015,BD+REPUBLIQUE,4190,LES MEES
341,5541982,554198200020,32.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
342,5542113,554211300013,SAUZE,4400,ENCHASTRAYES
343,5542162,554216200010,,4340,MEOLANS-REVEL
344,5542212,554221200013,QUAI+LE SAUZE,4400,ENCHASTRAYES
345,5542261,554226100010,COL ST JEAN,4340,SAINT VINCENT LES FORTS
346,5542345,554234500011,RUE+DE LA MAIRIE,4190,LES MEES
347,5542394,554239400019,1.0+PL+PIED DE VILLE,4000,DIGNE-LES-BAINS
348,5542410,554241000013,RUE+SAUNERIE,4200,SISTERON
349,5550017,555001700015,AV+DE LA GARE,4200,SISTERON
350,5550025,555002500018,34.0+ALL+DES FONTAINIERS,4000,DIGNE-LES-BAINS
351,5550025,555002500026,RUE+FERDINAND DE LESSEPS,4000,DIGNE-LES-BAINS
352,5550058,555005800019,QUA+LES BONS ENFANTS,4200,PEIPIN
353,5550058,555005800027,155.0+ALL+DES PLATANES LES MILLES,13290,AIX-EN-PROVENCE
354,5550066,555006600012,QUAI+DU GAND,4200,SISTERON
355,5550082,555008200027,ZONE ARTISANALE,4120,CASTELLANE
356,5550082,555008200035,519.0+AV+ALLENDE SALVADOR,83300,DRAGUIGNAN
