siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005441191,00029,00544119100029,O,,,,,2019-11-14T14:00:14,true,1,,,,ALL,DES ERABLES,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.41,NAP,N
005441233,00011,00544123300011,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
005441241,00014,00544124100014,O,,,,,,true,1,,,,QUAI,PLANTIERS,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N
005441266,00011,00544126600011,O,,,,,,true,1,,,,,,04270,ESTOUBLON,,,04084,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441316,00014,00544131600014,O,,,,,,true,1,,,,,,04240,ANNOT,,,04008,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N
005441357,00018,00544135700018,O,,,,,,true,1,,,,,,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441365,00011,00544136500011,O,,NN,,,,true,1,,4,,PL,DU MARCHE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1990-05-02,F,,,,,58.11,NAP,N
005441373,00015,00544137300015,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,1987-06-10,F,,,,,81.21,NAP,N
005441399,00010,00544139900010,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04170,LA MURE-ARGENS,,,04136,,,,,,,,,,,,,,,,,,,1989-03-11,F,,,,,69.12,NAP,N
005441407,00011,00544140700011,O,,NN,,,,true,1,,,,RUE,BASSE,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,93.0D,NAF1993,N
