,siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
27,5410857,541085700014,37.0+RUE+PIERRE SAUVAGE,80100,ABBEVILLE,50.108881,1.830341,Rue Pierre Sauvage 80100 Abbeville,0.540477331378299,,street,80001_1540,,Rue Pierre Sauvage,Rue Pierre Sauvage,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
28,5410873,541087300029,9.0+RUE+CHARLES DE GAULLE,80220,GAMACHES,49.986664,1.556045,Rue Charles de Gaulle 80220 Gamaches,0.5595823232323232,,street,80373_0110,,Rue Charles de Gaulle,Rue Charles de Gaulle,80220,Gamaches,"80, Somme, Hauts-de-France",80373,,,,ok
29,5410899,541089900024,21.0+BD+VOLTAIRE,80100,ABBEVILLE,50.106751,1.821536,Boulevard Voltaire 80100 Abbeville,0.42167945165945164,,street,80001_2270,,Boulevard Voltaire,Boulevard Voltaire,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
30,5410949,541094900019,35.0+PL+MAX LEJEUNE,80100,ABBEVILLE,50.105968,1.833641,Place Max Lejeune 80100 Abbeville,0.4687308211143694,,street,80001_0970,,Place Max Lejeune,Place Max Lejeune,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
31,5410980,541098000014,,80132,MIANNAY,50.099591,1.722324,Miannay,0.32713666666666663,0.2898679051383399,municipality,80546,,Miannay,,80132,Miannay,"80, Somme, Hauts-de-France",80546,,,,ok
32,5411053,541105300019,RUE+D ABBEVILLE,80870,MOYENNEVILLE,50.068487,1.783991,19 Rue d’Abbeville 80870 Moyenneville,0.6121681339712918,,housenumber,80578_fmopny_00019,19,19 Rue d’Abbeville,Rue d’Abbeville,80870,Moyenneville,"80, Somme, Hauts-de-France",80578,,,,ok
33,5411236,541123600010,RUE+DU MOULIN,80220,MAISNIERES,50.01214,1.608515,10 Rue du Moulin Visse 80220 Maisnières,0.5244471648690292,0.39211012987012983,housenumber,80500_0210_00010,10,10 Rue du Moulin Visse,Rue du Moulin Visse,80220,Maisnières,"80, Somme, Hauts-de-France",80500,,,,ok
34,5411343,541134300014,RUE+DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,50.25424,1.885694,Rue du Général de Gaulle 80150 Crécy-en-Ponthieu,0.48723407925407924,0.462632490118577,street,80222_0410,,Rue du Général de Gaulle,Rue du Général de Gaulle,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,80222,Crécy-en-Ponthieu,,ok
35,5411434,541143400011,,80120,FAVIERES,50.238663,1.67506,Favières,0.34226577395577396,0.34221189723320156,municipality,80303,,Favières,,80120,Favières,"80, Somme, Hauts-de-France",80303,,,,ok
36,5411483,541148300018,,80150,CRECY-EN-PONTHIEU,50.246042,1.873489,Crécy-en-Ponthieu,0.46259169960474306,0.4327866037735849,municipality,80222,,Crécy-en-Ponthieu,,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,,,,ok
37,5411582,541158200017,47.0+CHS+DU BOIS,80100,ABBEVILLE,50.108202,1.837494,Chaussée du Bois 80100 Abbeville,0.412344340175953,0.28415783610755435,street,80001_0210,,Chaussée du Bois,Chaussée du Bois,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
38,5411699,541169900019,,80150,CRECY-EN-PONTHIEU,50.246042,1.873489,Crécy-en-Ponthieu,0.46259169960474306,0.4327866037735849,municipality,80222,,Crécy-en-Ponthieu,,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,,,,ok
39,5411806,541180600010,RUE+ALFRED FRANCOIS,80100,ABBEVILLE,50.108407,1.836114,10 Rue Alfred Francois 80100 Abbeville,0.6375036677115987,,housenumber,80001_0040_00010,10,10 Rue Alfred Francois,Rue Alfred Francois,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
40,5411954,541195400018,RUE+JULES VERNE,80550,LE CROTOY,50.216038,1.628259,18 Rue Jules Verne 80550 Le Crotoy,0.5981919191919192,,housenumber,80228_0580_00018,18,18 Rue Jules Verne,Rue Jules Verne,80550,Le Crotoy,"80, Somme, Hauts-de-France",80228,,,,ok
41,5411962,541196200011,,80150,DOMVAST,50.203314,1.917962,Domvast,0.32463757575757574,0.2958926262626262,municipality,80250,,Domvast,,80150,Domvast,"80, Somme, Hauts-de-France",80250,,,,ok
42,5411996,541199600019,10.0+AV+DE LA GARE,80100,ABBEVILLE,50.102842,1.825261,Avenue de la Gare 80100 Abbeville,0.45072351906158353,0.428109853372434,street,80001_0800,,Avenue de la Gare,Avenue de la Gare,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
43,5420013,542001300012,264.0+CHS+D HOCQUET,80100,ABBEVILLE,50.107469,1.825546,Chaussée d'Hocquet 80100 Abbeville,0.4301245454545454,,street,80001_0950,,Chaussée d'Hocquet,Chaussée d'Hocquet,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
44,5420021,542002100015,17.0+RUE+DES LINGERS,80100,ABBEVILLE,50.106833,1.834514,Rue des Lingers 80100 Abbeville,0.5184359784283512,,street,80001_1190,,Rue des Lingers,Rue des Lingers,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
