restaurant_id,name,cuisine,borough,address,score,lng,lat
50012647,Kennedy Fried Chicken & Pizza,Chicken,Brooklyn,194 Rockaway Avenue 11233,12.0,-73.911171,40.676599
50012648,Akal Bakery Inc,Other,Queens,60-10 Kissena Boulevard 11355,10.0,-73.8151426,40.7397295
50012650,Los Poblanos Restaurant,Spanish,Brooklyn,4312 3 Avenue 11232,12.0,-74.011138,40.65154
50012652,Subway,Sandwiches,Queens,25919 Union Tpke 11004,10.0,-73.7124888,40.7470879
50012654,Minamoto Kitchoan,Japanese,Manhattan,509 Madison Avenue 10022,0.0,-73.9741264,40.7593608
50012658,Steak & Sizzle,Jewish/Kosher,Brooklyn,4011 13 Avenue 11218,2.0,-73.9871199,40.639793
50012659,Planet Smoothie,"Juice, Smoothies, Fruit Salads",Manhattan,2 Penn Plaza 10001,8.0,-73.992255,40.749712
50012674,Ethos,Mediterranean,Manhattan,167 Avenue A 10009,10.0,-73.98225099999999,40.728284
50012675,Fika,Other,Manhattan,566 10 Avenue 10036,7.0,-73.99574659999999,40.7592387
50012677,Local Liquids Juice Bar,"Juice, Smoothies, Fruit Salads",Queens,209 Beach  116 Street 11694,4.0,-73.837525,40.5800079
50012687,"Blended-Up Juice, Smoothies & Salad Bar, Corp","Juice, Smoothies, Fruit Salads",Bronx,1805 Westchester Avenue 10472,11.0,-73.86610019999999,40.8319634
50012688,Slice Pizza,Pizza,Manhattan,2224 Amsterdam Avenue 10032,26.0,-73.936144,40.841475
50012690,A Spice Lane,Indian,Manhattan,216 3 Avenue 10003,10.0,-73.98534699999999,40.736252
50012691,Yo Sweets,"Ice Cream, Gelato, Yogurt, Ices",Manhattan,756 West  181 Street 10033,3.0,-73.9379462,40.85067
50012694,Sarku Japan,Japanese,Bronx,200 Baychester Avenue 10475,8.0,-73.8289779,40.8665658
50012697,Sunberi Yogurt,"Ice Cream, Gelato, Yogurt, Ices",Queens,35-04 30 Avenue 11103,8.0,-73.918145,40.765087
50012702,Tum & Yum,Other,Manhattan,917 Columbus Avenue 10025,10.0,-73.96322880000001,40.7983818
50012705,Hillside Dosa  Hutt,Vegetarian,Queens,258-15 Hillside Avenue 11004,24.0,-73.70964719999999,40.73725719999999
50012708,Pizzeria Di Mola,Pizza,Brooklyn,176 Avenue O 11204,7.0,-73.97834,40.610586
50012710,Gaeul,Korean,Queens,35-22 150 Place 11354,8.0,-73.81419679999999,40.7656898
50012722,8 Paet Rio,Thai,Queens,8110 Broadway 11373,8.0,-73.88144419999999,40.742168
50012723,Starbucks,Café/Coffee/Tea,Manhattan,239 Bleecker Street 10014,4.0,-74.0025902,40.7307011
50012724,Teavana#22632,Café/Coffee/Tea,Manhattan,1077 3 Avenue 10065,10.0,-73.9643664,40.76424129999999
50012725,United Airlines Red Carpet Club,American ,Queens,nan Jfk Airport 11430,6.0,-73.77813909999999,40.6413111
50012730,Campo Bello Restaurant 2,Spanish,Brooklyn,9128 5 Avenue 11209,11.0,-74.029338,40.618061
50012736,Club Vibe Bar And Cafe,Other,Queens,143-06 Liberty Avenue 11435,10.0,-73.809342,40.692054
50012740,Egg Shop,American ,Manhattan,151 Elizabeth Street 10012,10.0,-73.995342,40.7204284
50012742,Limpia Deli Subs Grocery,American ,Bronx,2467 Webster Ave 10458,5.0,-73.89311,40.8604356
50012743,Agra King Restaurant,Indian,Brooklyn,1961 Flatbush Avenue 11234,12.0,-73.935937,40.622162
50012744,Chatime,Café/Coffee/Tea,Queens,81-21 Broadway 11373,5.0,-73.883167,40.7431231
50012746,Burger Time,Hamburgers,Bronx,1080 Morris Park Avenue 10461,12.0,-73.853415,40.8490589
50012749,Lutzina Bar & Lounge,American ,Brooklyn,2031 Bath Ave 11214,16.0,-74.0005309,40.6007616
50012760,Ed'S Lobster Bar,Other,Manhattan,52 Gansevoort St 10014,7.0,-74.00702,40.739143
50012763,Cherry Izakaya,Japanese,Brooklyn,138 North    8 Street 11249,12.0,-73.95804919999999,40.7188652
50012767,Yemen Restaurant,Middle Eastern,Brooklyn,6726 5Th Ave 11220,25.0,-74.0206484,40.6348987
50012783,Chase Taste Buffet,Chinese,Queens,149-21 Jamaica Avenue 11435,11.0,-73.804928,40.70221000000001
50012784,Wingstop,Chicken,Brooklyn,1270 Fulton St 11216,5.0,-73.9500101,40.6801956
50012785,Mike'S Bistro,Jewish/Kosher,Manhattan,127 East   54 Street 10022,13.0,-73.9710257,40.7594553
50012789,Dunkin Donuts,Donuts,Queens,51-09 Broadway 11377,6.0,-73.90836999999999,40.754249
50012794,Filomena'S Pizza And Restaurant,Pizza/Italian,Bronx,134 Pennyfield Avenue 10465,18.0,-73.80526189999999,40.8118209
50012795,Planet Wings,American ,Brooklyn,8612 5 Avenue 11209,10.0,-74.02672559999999,40.6212885
50012798,Loja'S Pizza Corp.,Pizza/Italian,Bronx,190 East  167 Street 10456,13.0,-73.9171654,40.8341484
50012807,Luca Luca,Mexican,Brooklyn,283 Nostrand Avenue 11216,10.0,-73.95102399999999,40.68897399999999
50012808,Calle Dao,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Manhattan,38 West   39 Street 10018,25.0,-73.984223,40.75215499999999
50012812,Panda Express #2634,Other,Queens,90-15 Queens Boulevard 11373,6.0,-73.8706606,40.7342757
50012829,The Cantine,Café/Coffee/Tea,Brooklyn,232 3 Street 11215,13.0,-73.987844,40.6747512
50012832,National Diner,American ,Bronx,135 Westchester Square 10461,34.0,-73.842029,40.840629
50012833,Lupita'S Mexican Food,Tex-Mex,Bronx,2366 Grand Concourse 10458,10.0,-73.8984828,40.8590316
50012834,Crimson & Rye,American ,Manhattan,198 E 54Th St 10022,19.0,-73.9689637,40.7583248
50012840,Mr. Wonton,Chinese,Queens,78-05 Jamaica Avenue 11421,10.0,-73.8639709,40.6919993
50012841,Littleneck Outpost,American ,Brooklyn,128 Franklin Street 11222,7.0,-73.957227,40.729301
50012845,Pizza Cucina Of Ridgewood,Pizza,Queens,207 Cypress Avenue 11385,9.0,-73.89496919999999,40.6927792
50012851,Urbo,American ,Manhattan,11 Times Square 10036,2.0,-73.9896843,40.7565374
50012853,Urbo,American ,Manhattan,11 Times Square 10036,7.0,-73.9896843,40.7565374
50012863,Dunkin Donuts,Donuts,Bronx,2035 Bartow Avenue 10475,5.0,-73.82946849999999,40.8698014
50012867,Chillz Restaurant,Caribbean,Bronx,4744 White Plains Road 10470,18.0,-73.849358,40.904551
50012869,Papa Gyro,Turkish,Brooklyn,312 Ditmas Avenue 11218,26.0,-73.9754935,40.6356025
50012871,Tacos Al Suadero,Mexican,Queens,39-04 103 Street 11368,5.0,-73.863248,40.750437
50012875,There Should Always Be Cake,Bakery,Bronx,2465 East Tremont Avenue 10461,2.0,-73.851095,40.84294
50012880,Brooklyn Chocolate House,Café/Coffee/Tea,Brooklyn,105A North    3 Street 11249,2.0,-73.961873,40.7168652
50012896,Savoia,Italian,Brooklyn,277 Smith Street 11231,18.0,-73.9931802,40.6824584
50012902,Ming Liang Kitchen,Chinese,Bronx,236 East Gun Hill Road 10467,13.0,-73.8765052,40.8798749
50012904,Chapter One,American ,Manhattan,33 Greenwich Avenue 10014,7.0,-74.000451,40.7349856
50012922,Taiwanese Restaurant,Asian,Queens,84-02 Broadway 11373,21.0,-73.87877189999999,40.7398374
50012934,Dig Inn Seasonal Market,American ,Manhattan,80 Broad St 10004,12.0,-74.011963,40.7042826
